City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hirara,JP,75.47,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
2,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
11,Boquim,BR,71.67,few clouds,-11.1469,-37.6206,Moda vip BOQUIM
12,Puerto Ayacucho,VE,74.97,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
13,Victoria,HK,75.38,clear sky,22.2855,114.1577,Mini Central
17,Rikitea,PF,71.87,light rain,-23.1203,-134.9692,People ThankYou
19,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
21,Atuona,PF,78.17,broken clouds,-9.8,-139.0333,Villa Enata
27,Richards Bay,ZA,71.64,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
32,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Butaritari,KI,80.64,broken clouds,3.0707,172.7902,Isles Sunset Lodge
40,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
43,Nsanje,MW,70.43,clear sky,-16.92,35.262,Nsanje Discovery Lodge
44,Tabou,CI,78.13,light rain,4.423,-7.3528,hotêl doufoulougou
45,Itapirapua,BR,85.15,scattered clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
49,Fare,PF,79.81,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
50,Vung Tau,VN,78.94,overcast clouds,10.346,107.0843,Seaside Resort
62,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
67,Hilo,US,84.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
71,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
72,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
78,Poum,NC,78.21,broken clouds,-20.2333,164.0167,
83,Douentza,ML,72.57,broken clouds,14.9951,-2.9517,Ogomono Doumbo
86,Cicuco,CO,77.58,overcast clouds,9.2631,-74.6569,Casa familia Soraca Tafur
89,Hithadhoo,MV,81.19,scattered clouds,-0.6,73.0833,Scoop Guest House
91,Quepos,CR,78.26,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
93,Boyolangu,ID,74.62,overcast clouds,-8.1181,111.8935,Yos ega cv
96,Xai-Xai,MZ,72.64,clear sky,-25.0519,33.6442,Complexo da Familia
97,Bengkulu,ID,76.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
100,Cabo San Lucas,MX,78.1,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
101,Inhambane,MZ,73.98,clear sky,-23.865,35.3833,Oceano
102,Lompoc,US,71.74,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
107,Yabassi,CM,74.84,light rain,4.457,9.9682,MOTEL FOMI
109,Ambilobe,MG,71.44,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
113,Mahajanga,MG,73.42,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
117,Carutapera,BR,77.04,broken clouds,-1.195,-46.02,Lidera
123,Srandakan,ID,77.0,overcast clouds,-7.9386,110.2506,Puri Brata
126,Edd,ER,82.26,clear sky,13.9297,41.6925,
128,Kalmunai,LK,71.1,overcast clouds,7.4167,81.8167,VS Villa
129,Anori,BR,76.93,light rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
130,Cairns,AU,91.11,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
133,Gamba,GA,74.39,overcast clouds,-2.65,10.0,
135,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
136,Robertsport,LR,79.34,broken clouds,6.7533,-11.3686,Kwepunha Retreat
139,Kokopo,PG,84.18,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
148,Coruripe,BR,76.37,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
150,Dicabisagan,PH,80.53,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
151,Mumford,GH,78.69,broken clouds,5.2618,-0.759,Peace Guest House
157,Porto Seguro,BR,73.92,light rain,-16.4497,-39.0647,Porto Cálem Praia Hotel
158,Araouane,ML,70.48,overcast clouds,18.9048,-3.5265,
159,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
169,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
170,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
172,Raga,SS,71.31,scattered clouds,8.4596,25.678,
174,Faanui,PF,79.14,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
179,Isabela,PH,80.65,overcast clouds,6.7085,121.9711,Isawad Resort
185,Guerrero Negro,MX,71.1,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
192,Ribas Do Rio Pardo,BR,74.08,clear sky,-20.4431,-53.7592,Pousada Avenida
196,Koulikoro,ML,74.23,overcast clouds,14.0,-7.75,
197,Aborlan,PH,80.67,overcast clouds,9.4352,118.5492,Kevina Transient House
202,Paraiso,CR,70.66,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
203,Lahij,YE,70.21,few clouds,13.1667,44.5833,
204,Molina,CL,78.53,few clouds,-35.1167,-71.2833,Hostal Pucará
205,Palembang,ID,77.09,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
206,Sambava,MG,72.07,light rain,-14.2667,50.1667,Melrose
208,Ocos,GT,82.11,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
210,Kattivakkam,IN,73.49,overcast clouds,13.2167,80.3167,Euronova Freezer
211,Cockburn Town,TC,81.81,clear sky,21.4612,-71.1419,Osprey Beach Hotel
212,Hobyo,SO,80.35,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
213,Tra Vinh,VN,79.14,overcast clouds,9.9347,106.3453,Hồng Ân
215,Eyl,SO,74.89,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
218,Chumphon,TH,70.99,overcast clouds,10.3333,98.8333,สกาน จ๋า.
221,Ouargaye,BF,75.81,broken clouds,11.5033,0.0572,Résidence le Cotonnier
224,Manta,EC,74.98,clear sky,-0.95,-80.7333,Balandra Hotel
229,Muisne,EC,74.26,overcast clouds,0.6,-80.0333,Quinta Samay
230,Banda Aceh,ID,78.57,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
231,Hambantota,LK,76.82,overcast clouds,6.1241,81.1185,Bungalow 63
234,Tautira,PF,76.87,broken clouds,-17.7333,-149.15,Pension Oaoa
236,Bandarbeyla,SO,76.93,clear sky,9.4942,50.8122,JABIR HOTEL
237,Sur,OM,74.26,clear sky,22.5667,59.5289,Sur Plaza Hotel
238,Mildura,AU,70.07,few clouds,-34.2,142.15,Mercure Hotel Mildura
239,Akyab,MM,72.54,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
