City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Laguna,US,38.421,-121.4238,66.49,36,0,3.44,clear sky
1,Hirara,JP,24.8,125.2833,75.47,94,20,3.44,few clouds
2,San Andres,CO,12.5847,-81.7006,80.62,89,75,10.36,broken clouds
3,Qaanaaq,GL,77.484,-69.3632,-16.98,74,3,7.72,clear sky
4,Windhoek,NA,-22.5594,17.0832,69.42,45,32,4.61,scattered clouds
5,Cidreira,BR,-30.1811,-50.2056,67.03,81,89,8.23,overcast clouds
6,Talnakh,RU,69.4865,88.3972,-2.79,95,100,22.03,light snow
7,Khandbari,NP,27.3747,87.2039,52.95,74,14,3.49,few clouds
8,Bluff,NZ,-46.6,168.3333,58.8,86,100,9.86,overcast clouds
9,Jamestown,US,42.097,-79.2353,31.59,78,100,9.22,mist
10,Kodiak,US,57.79,-152.4072,42.31,93,100,10.36,mist
11,Boquim,BR,-11.1469,-37.6206,71.67,92,17,5.66,few clouds
12,Puerto Ayacucho,VE,5.6639,-67.6236,74.97,92,100,3.18,overcast clouds
13,Victoria,HK,22.2855,114.1577,75.38,87,0,5.01,clear sky
14,Ostrovnoy,RU,68.0531,39.5131,37.6,73,100,13.98,overcast clouds
15,Port Elizabeth,ZA,-33.918,25.5701,63.1,94,75,3.44,broken clouds
16,Hobart,AU,-42.8794,147.3294,64.06,63,40,5.75,scattered clouds
17,Rikitea,PF,-23.1203,-134.9692,71.87,86,100,9.01,light rain
18,Bay City,US,43.5945,-83.8889,30.52,89,100,13.8,mist
19,Vaini,TO,-21.2,-175.2,82.56,74,20,13.8,few clouds
20,Nome,US,64.5011,-165.4064,35.67,93,100,14.97,light rain
21,Atuona,PF,-9.8,-139.0333,78.17,74,67,14.61,broken clouds
22,Guangshui,CN,31.6199,113.9978,54.01,86,63,4.94,broken clouds
23,Ancud,CL,-41.8697,-73.8203,54.66,97,100,4.63,overcast clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,60.82,87,0,15.99,clear sky
25,Ribeira Grande,PT,38.5167,-28.7,58.77,67,17,7.0,few clouds
26,Faya,SA,18.3851,42.4509,57.31,72,1,1.59,clear sky
27,Richards Bay,ZA,-28.783,32.0377,71.64,95,100,2.17,light rain
28,Asau,RO,46.4333,26.4,33.28,86,86,4.76,overcast clouds
29,Juneau,US,58.3019,-134.4197,37.22,100,40,0.0,scattered clouds
30,Katsuura,JP,35.1333,140.3,50.02,68,99,10.85,overcast clouds
31,Severobaykalsk,RU,55.65,109.3167,23.86,66,100,13.13,overcast clouds
32,Kapaa,US,22.0752,-159.319,82.72,72,40,14.97,scattered clouds
33,Filadelfia,US,39.9523,-75.1638,40.01,57,40,11.5,scattered clouds
34,Butaritari,KI,3.0707,172.7902,80.64,76,65,14.07,broken clouds
35,San Patricio,US,28.017,-97.5169,55.83,55,100,7.0,overcast clouds
36,Punta Arenas,CL,-53.15,-70.9167,53.71,43,20,27.63,few clouds
37,Hermanus,ZA,-34.4187,19.2345,56.8,63,100,4.32,overcast clouds
38,Challapata,BO,-18.9,-66.7667,54.64,43,68,18.79,broken clouds
39,Naron,ES,43.5167,-8.1528,53.67,81,31,6.98,scattered clouds
40,Isangel,VU,-19.55,169.2667,86.11,84,75,5.75,broken clouds
41,Ushuaia,AR,-54.8,-68.3,51.46,46,40,13.8,scattered clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,69.55,89,77,5.01,broken clouds
43,Nsanje,MW,-16.92,35.262,70.43,74,0,3.36,clear sky
44,Tabou,CI,4.423,-7.3528,78.13,83,23,6.98,light rain
45,Itapirapua,BR,-15.8233,-50.6133,85.15,30,41,1.81,scattered clouds
46,Florence,IT,43.7667,11.25,59.34,98,40,3.44,light rain
47,Kamenka,RU,51.3223,42.7678,35.4,100,100,5.14,overcast clouds
48,Tasiilaq,GL,65.6145,-37.6368,33.96,77,88,5.12,overcast clouds
49,Fare,PF,-16.7,-151.0167,79.81,73,26,4.38,light rain
50,Vung Tau,VN,10.346,107.0843,78.94,85,100,7.74,overcast clouds
51,Tiksi,RU,71.6872,128.8694,-4.27,96,100,6.82,overcast clouds
52,Port Lincoln,AU,-34.7333,135.8667,66.85,50,100,16.73,moderate rain
53,Dikson,RU,73.5069,80.5464,2.03,95,100,18.77,light snow
54,Thompson,CA,55.7435,-97.8558,3.36,78,75,10.36,broken clouds
55,Broken Hill,AU,-31.95,141.4333,68.83,28,62,12.59,broken clouds
56,Tuatapere,NZ,-46.1333,167.6833,55.26,93,100,3.65,overcast clouds
57,East London,ZA,-33.0153,27.9116,66.56,88,100,1.95,light rain
58,Shubarshi,KZ,48.5872,57.1869,29.75,73,100,14.79,overcast clouds
59,Bredasdorp,ZA,-34.5322,20.0403,59.43,63,100,0.69,overcast clouds
60,Mataura,NZ,-46.1927,168.8643,58.48,68,100,2.42,overcast clouds
61,Erzin,TR,36.9559,36.2,60.13,86,99,2.21,overcast clouds
62,Avarua,CK,-21.2078,-159.775,77.05,83,75,14.97,broken clouds
63,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,74,75,11.5,broken clouds
64,Norman Wells,CA,65.282,-126.8329,-0.36,85,40,3.44,scattered clouds
65,Longyearbyen,SJ,78.2186,15.6401,24.64,80,75,8.05,broken clouds
66,Achinsk,RU,56.2694,90.4993,15.4,93,100,4.54,light snow
67,Hilo,US,19.7297,-155.09,84.25,75,0,13.8,clear sky
68,Hammerfest,NO,70.6634,23.6821,30.65,100,0,3.44,clear sky
69,Mahebourg,MU,-20.4081,57.7,68.25,88,20,6.91,few clouds
70,Magnolia,US,33.2671,-93.2393,44.29,60,0,0.63,clear sky
71,Salalah,OM,17.0151,54.0924,77.09,78,20,4.61,few clouds
72,Cayenne,GF,4.9333,-52.3333,78.84,83,0,3.44,clear sky
73,Castro,BR,-24.7911,-50.0119,55.83,64,1,6.35,clear sky
74,Nikolskoye,RU,59.7035,30.7861,28.29,86,10,5.66,clear sky
75,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,10.36,overcast clouds
76,Sandwick,GB,60.0,-1.25,46.22,76,75,31.07,broken clouds
77,Chokurdakh,RU,70.6333,147.9167,-11.02,97,99,5.28,overcast clouds
78,Poum,NC,-20.2333,164.0167,78.21,72,83,10.2,broken clouds
79,Gornozavodsk,RU,58.3758,58.3211,2.17,97,6,1.45,clear sky
80,Plouzane,FR,48.3833,-4.6167,50.32,84,20,13.8,few clouds
81,Port Alfred,ZA,-33.5906,26.891,63.18,94,100,6.82,overcast clouds
82,Damphu,BT,27.0721,90.1096,51.13,86,12,5.12,few clouds
83,Douentza,ML,14.9951,-2.9517,72.57,19,59,4.05,broken clouds
84,Yellowknife,CA,62.456,-114.3525,16.32,73,75,9.22,broken clouds
85,Tiznit,MA,29.5833,-9.5,59.31,75,48,1.61,scattered clouds
86,Cicuco,CO,9.2631,-74.6569,77.58,91,97,5.93,overcast clouds
87,Torbay,CA,47.6666,-52.7314,45.57,85,75,29.93,broken clouds
88,Severo-Kurilsk,RU,50.6789,156.125,34.9,67,100,15.17,overcast clouds
89,Hithadhoo,MV,-0.6,73.0833,81.19,74,38,13.53,scattered clouds
90,Chocope,PE,-7.7914,-79.2217,61.65,81,59,8.05,broken clouds
91,Quepos,CR,9.4236,-84.1652,78.26,88,57,2.28,broken clouds
92,Paramonga,PE,-10.6667,-77.8333,64.56,85,58,7.96,broken clouds
93,Boyolangu,ID,-8.1181,111.8935,74.62,91,100,2.66,overcast clouds
94,Bambous Virieux,MU,-20.3428,57.7575,68.22,88,20,6.91,few clouds
95,Nalut,LY,30.3333,10.85,61.99,46,16,9.55,few clouds
96,Xai-Xai,MZ,-25.0519,33.6442,72.64,73,5,8.37,clear sky
97,Bengkulu,ID,-3.8004,102.2655,76.44,85,97,6.08,overcast clouds
98,Cherskiy,RU,68.75,161.3,-20.16,100,100,7.0,overcast clouds
99,Margate,GB,51.3813,1.3862,46.87,82,100,5.99,overcast clouds
100,Cabo San Lucas,MX,22.8909,-109.9124,78.1,64,20,10.36,few clouds
101,Inhambane,MZ,-23.865,35.3833,73.98,73,9,7.16,clear sky
102,Lompoc,US,34.6391,-120.4579,71.74,45,0,13.8,clear sky
103,Mount Gambier,AU,-37.8333,140.7667,65.88,50,3,8.5,clear sky
104,Lavrentiya,RU,65.5833,-171.0,34.9,98,100,21.16,light snow
105,Kiama,AU,-34.6833,150.8667,67.37,58,15,12.41,few clouds
106,Hami,CN,42.8,93.45,34.5,69,78,7.58,broken clouds
107,Yabassi,CM,4.457,9.9682,74.84,97,84,1.63,light rain
108,Albany,US,42.6001,-73.9662,35.46,59,40,1.99,scattered clouds
109,Ambilobe,MG,-13.2,49.05,71.44,90,12,3.29,few clouds
110,Kaitangata,NZ,-46.2817,169.8464,58.28,76,100,6.06,overcast clouds
111,Broome,US,42.2506,-75.833,32.9,75,100,10.36,overcast clouds
112,Kaoma,ZM,-14.7833,24.8,69.94,61,68,2.8,broken clouds
113,Mahajanga,MG,-15.7167,46.3167,73.42,78,40,3.44,scattered clouds
114,Dalvik,IS,65.9702,-18.5286,35.53,84,74,12.37,broken clouds
115,Narsaq,GL,60.9167,-46.05,21.42,91,100,2.33,light snow
116,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,26,4.9,scattered clouds
117,Carutapera,BR,-1.195,-46.02,77.04,88,71,6.44,broken clouds
118,Buraydah,SA,26.326,43.975,66.65,66,100,14.63,overcast clouds
119,Busselton,AU,-33.65,115.3333,53.24,74,100,20.98,overcast clouds
120,Mehran,IR,33.1222,46.1646,62.24,65,0,7.83,clear sky
121,Aykhal,RU,66.0,111.5,-26.9,100,72,4.72,broken clouds
122,Ardahan,TR,41.1087,42.7022,29.26,84,45,2.57,scattered clouds
123,Srandakan,ID,-7.9386,110.2506,77.0,88,100,3.8,overcast clouds
124,Srednekolymsk,RU,67.45,153.6833,-22.22,95,87,11.52,overcast clouds
125,Adrar,MR,20.5022,-10.0711,69.44,16,0,8.43,clear sky
126,Edd,ER,13.9297,41.6925,82.26,38,0,15.86,clear sky
127,Grand Gaube,MU,-20.0064,57.6608,68.38,63,8,3.0,clear sky
128,Kalmunai,LK,7.4167,81.8167,71.1,84,100,10.27,overcast clouds
129,Anori,BR,-3.7728,-61.6442,76.93,89,97,3.56,light rain
130,Cairns,AU,-16.9167,145.7667,91.11,62,13,5.75,few clouds
131,Esperance,AU,-33.8667,121.9,58.46,62,68,13.15,broken clouds
132,Mandalgovi,MN,45.7625,106.2708,28.42,37,100,8.97,overcast clouds
133,Gamba,GA,-2.65,10.0,74.39,91,100,3.69,overcast clouds
134,Bowmore,US,34.9421,-79.3031,45.9,67,0,3.44,clear sky
135,Boa Vista,BR,2.8197,-60.6733,84.18,65,40,5.75,scattered clouds
136,Robertsport,LR,6.7533,-11.3686,79.34,79,78,2.95,broken clouds
137,Whitianga,NZ,-36.8333,175.7,67.91,74,90,11.03,overcast clouds
138,Arani,IN,12.6667,79.2833,66.34,72,100,5.77,overcast clouds
139,Kokopo,PG,-4.352,152.2633,84.18,67,95,5.5,overcast clouds
140,Brigantine,US,39.4101,-74.3646,41.0,57,20,12.66,few clouds
141,Kaka,TM,37.3482,59.6143,59.72,38,93,5.01,overcast clouds
142,Coquimbo,CL,-29.9533,-71.3436,60.53,82,20,11.5,few clouds
143,Wanaka,NZ,-44.7,169.15,63.27,72,80,5.88,light rain
144,Bethel,US,41.3712,-73.414,41.31,60,20,11.5,few clouds
145,Chuy,UY,-33.6971,-53.4616,65.61,65,94,4.09,overcast clouds
146,Ust-Nera,RU,64.5667,143.2,-25.82,99,79,4.63,broken clouds
147,Furstenwalde,DE,52.3667,14.0667,36.37,73,100,13.13,overcast clouds
148,Coruripe,BR,-10.1256,-36.1756,76.37,80,17,10.07,few clouds
149,Cape Town,ZA,-33.9258,18.4232,60.28,73,0,9.22,clear sky
