City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Leningradskiy,RU,2022-11-09 18:09:21,69.3833,178.4167,3.0,86,100,7.38
1,Zhigansk,RU,2022-11-09 18:09:22,66.7697,123.3711,-5.84,97,100,12.21
2,Tuktoyaktuk,CA,2022-11-09 18:09:22,69.4541,-133.0374,11.79,93,56,3.71
3,Ushuaia,AR,2022-11-09 18:06:00,-54.8,-68.3,51.42,53,40,25.32
4,Bredasdorp,ZA,2022-11-09 18:09:23,-34.5322,20.0403,60.71,53,94,8.16
5,Upernavik,GL,2022-11-09 18:09:23,72.7868,-56.1549,10.62,86,100,0.83
6,Cidreira,BR,2022-11-09 18:09:23,-30.1811,-50.2056,67.5,74,51,9.78
7,Solnechnyy,RU,2022-11-09 18:09:23,50.7214,136.6319,25.25,47,11,14.56
8,Klaksvik,FO,2022-11-09 18:06:16,62.2266,-6.589,49.12,93,79,21.0
9,Bengkulu,ID,2022-11-09 18:09:24,-3.8004,102.2655,74.97,93,100,3.53
10,East London,ZA,2022-11-09 18:09:24,-33.0153,27.9116,67.37,65,99,15.55
11,New Norfolk,AU,2022-11-09 18:09:24,-42.7826,147.0587,60.3,90,88,3.42
12,Hobart,AU,2022-11-09 18:07:08,-42.8794,147.3294,60.66,67,94,11.5
13,Bitung,ID,2022-11-09 18:09:25,1.4451,125.1824,76.05,83,99,4.32
14,Mataura,NZ,2022-11-09 18:09:25,-46.1927,168.8643,40.48,94,6,2.24
15,Davidson,US,2022-11-09 18:09:26,36.1501,-86.7833,78.4,34,20,4.61
16,Barrow,US,2022-11-09 18:09:26,71.2906,-156.7887,28.42,86,0,10.36
17,Bluff,NZ,2022-11-09 18:09:26,-46.6,168.3333,40.8,77,5,2.06
18,Maragogi,BR,2022-11-09 18:09:27,-9.0122,-35.2225,81.88,68,10,10.09
19,Geraldton,AU,2022-11-09 18:08:26,-28.7667,114.6,54.01,87,6,6.91
20,Hauzenberg,DE,2022-11-09 18:09:27,48.65,13.6333,49.86,92,85,1.34
21,Along,IN,2022-11-09 18:09:27,28.1667,94.7667,59.13,86,3,1.95
22,Vaini,TO,2022-11-09 18:09:28,-21.2,-175.2,76.46,81,88,22.19
23,Salalah,OM,2022-11-09 18:09:28,17.0151,54.0924,78.89,65,0,4.61
24,Rikitea,PF,2022-11-09 18:09:28,-23.1203,-134.9692,73.58,88,100,7.85
25,Ponta Delgada,PT,2022-11-09 18:09:28,37.7333,-25.6667,69.49,82,20,16.11
26,Comodoro Rivadavia,AR,2022-11-09 18:04:51,-45.8667,-67.5,78.66,19,0,14.97
27,Pangai,TO,2022-11-09 18:09:29,-19.8,-174.35,77.45,80,88,21.54
28,Arraial Do Cabo,BR,2022-11-09 18:09:29,-22.9661,-42.0278,75.06,78,40,11.5
29,Albany,US,2022-11-09 18:09:30,42.6001,-73.9662,52.03,40,2,1.99
30,Busselton,AU,2022-11-09 18:09:30,-33.65,115.3333,56.64,85,15,6.6
31,Traverse City,US,2022-11-09 18:04:53,44.7631,-85.6206,53.83,82,100,8.05
32,Tezu,IN,2022-11-09 18:09:30,27.9167,96.1667,64.78,57,40,4.05
33,Cape Town,ZA,2022-11-09 18:09:15,-33.9258,18.4232,62.28,65,28,11.99
34,Butaritari,KI,2022-11-09 18:09:31,3.0707,172.7902,80.78,81,86,15.12
35,Saint-Joseph,RE,2022-11-09 18:09:31,-21.3667,55.6167,71.98,80,61,9.75
36,Avarua,CK,2022-11-09 18:09:31,-21.2078,-159.775,75.25,78,40,8.05
37,Saint-Pierre,RE,2022-11-09 18:09:32,-21.3393,55.4781,73.08,68,0,6.91
38,Vila Velha,BR,2022-11-09 18:09:32,-20.3297,-40.2925,80.55,77,20,8.05
39,Itarema,BR,2022-11-09 18:07:11,-2.9248,-39.9167,85.15,60,100,15.66
40,Axim,GH,2022-11-09 18:09:32,4.8699,-2.2405,80.6,74,46,9.82
41,Menongue,AO,2022-11-09 18:09:33,-14.6585,17.691,77.34,43,54,3.65
42,Victoria,HK,2022-11-09 18:05:35,22.2855,114.1577,75.38,86,0,8.99
43,Singaraja,ID,2022-11-09 18:09:33,-8.112,115.0882,79.83,82,98,2.66
44,Touros,BR,2022-11-09 18:09:34,-5.1989,-35.4608,83.46,61,64,14.79
